TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T000400_2.00	F009_2.00	TS12_2.00	M06560_2.00	MS46_2.00	AT1G01250	ERF023	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	AT1G01250_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000400_2.00	F009_2.00	TS12_2.00	M06561_2.00	MS46_2.00	AT1G01250	ERF023	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	AT1G01250_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000401_2.00	F009_2.00	TS12_2.00	M06562_2.00	MS46_2.00	AT1G03800	ERF10	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	ERF10_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000401_2.00	F009_2.00	TS12_2.00	M06563_2.00	MS46_2.00	AT1G03800	ERF10	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	ERF10_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000402_2.00	F009_2.00	TS12_2.00	M01045_2.00	MS56_2.00	AT1G04370	ERF14	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	pTH9793	PBM	Stam_Arabidopsis	PBM	Sullivan	2014	25220462	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000403_2.00	F009_2.00	TS12_2.00	M01602_2.00	MS64_2.00	AT1G06160	ERF094	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	pTH8276	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000404_2.00	F009_2.00	TS12_2.00	M00840_2.00	MS21_2.00	AT1G12610	DREB1F	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	DDF1	PBM	Franco_Zorrilla2014	PBM	Franco-Zorrilla	2014	24477691	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000404_2.00	F009_2.00	TS12_2.00	M00962_2.00	MS35_2.00	AT1G12610	DREB1F	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	DDF1_Arabidopsis_thaliana	PBM	LehtiShiu2015	PBM	LehtiShiu	2015	26103993	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000404_2.00	F009_2.00	TS12_2.00	M06564_2.00	MS46_2.00	AT1G12610	DREB1F	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	DDF1_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000404_2.00	F009_2.00	TS12_2.00	M06565_2.00	MS46_2.00	AT1G12610	DREB1F	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	DDF1_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000404_2.00	F009_2.00	TS12_2.00	M09701_2.00	MS59_2.00	AT1G12610	DREB1F	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	P$DREB1F_03	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000405_2.00	F009_2.00	TS12_2.00	M06566_2.00	MS46_2.00	AT1G12630	ERF027	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	AT1G12630_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000405_2.00	F009_2.00	TS12_2.00	M06567_2.00	MS46_2.00	AT1G12630	ERF027	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	AT1G12630_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M01616_2.00	MS64_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8156	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
